"","species","flipper_length_mm","culmen_length_mm","culmen_depth_mm","body_mass_g"
"1","Adelie Penguin (Pygoscelis adeliae)",181,39.1,18.7,3750
"2","Adelie Penguin (Pygoscelis adeliae)",186,39.5,17.4,3800
"3","Adelie Penguin (Pygoscelis adeliae)",195,40.3,18,3250
"4","Adelie Penguin (Pygoscelis adeliae)",193,36.7,19.3,3450
"5","Adelie Penguin (Pygoscelis adeliae)",190,39.3,20.6,3650
"6","Adelie Penguin (Pygoscelis adeliae)",181,38.9,17.8,3625
"7","Adelie Penguin (Pygoscelis adeliae)",195,39.2,19.6,4675
"8","Adelie Penguin (Pygoscelis adeliae)",193,34.1,18.1,3475
"9","Adelie Penguin (Pygoscelis adeliae)",190,42,20.2,4250
"10","Adelie Penguin (Pygoscelis adeliae)",186,37.8,17.1,3300
"11","Adelie Penguin (Pygoscelis adeliae)",180,37.8,17.3,3700
"12","Adelie Penguin (Pygoscelis adeliae)",182,41.1,17.6,3200
"13","Adelie Penguin (Pygoscelis adeliae)",191,38.6,21.2,3800
"14","Adelie Penguin (Pygoscelis adeliae)",198,34.6,21.1,4400
"15","Adelie Penguin (Pygoscelis adeliae)",185,36.6,17.8,3700
"16","Adelie Penguin (Pygoscelis adeliae)",195,38.7,19,3450
"17","Adelie Penguin (Pygoscelis adeliae)",197,42.5,20.7,4500
"18","Adelie Penguin (Pygoscelis adeliae)",184,34.4,18.4,3325
"19","Adelie Penguin (Pygoscelis adeliae)",194,46,21.5,4200
"20","Adelie Penguin (Pygoscelis adeliae)",174,37.8,18.3,3400
"21","Adelie Penguin (Pygoscelis adeliae)",180,37.7,18.7,3600
"22","Adelie Penguin (Pygoscelis adeliae)",189,35.9,19.2,3800
"23","Adelie Penguin (Pygoscelis adeliae)",185,38.2,18.1,3950
"24","Adelie Penguin (Pygoscelis adeliae)",180,38.8,17.2,3800
"25","Adelie Penguin (Pygoscelis adeliae)",187,35.3,18.9,3800
"26","Adelie Penguin (Pygoscelis adeliae)",183,40.6,18.6,3550
"27","Adelie Penguin (Pygoscelis adeliae)",187,40.5,17.9,3200
"28","Adelie Penguin (Pygoscelis adeliae)",172,37.9,18.6,3150
"29","Adelie Penguin (Pygoscelis adeliae)",180,40.5,18.9,3950
"30","Adelie Penguin (Pygoscelis adeliae)",178,39.5,16.7,3250
"31","Adelie Penguin (Pygoscelis adeliae)",178,37.2,18.1,3900
"32","Adelie Penguin (Pygoscelis adeliae)",188,39.5,17.8,3300
"33","Adelie Penguin (Pygoscelis adeliae)",184,40.9,18.9,3900
"34","Adelie Penguin (Pygoscelis adeliae)",195,36.4,17,3325
"35","Adelie Penguin (Pygoscelis adeliae)",196,39.2,21.1,4150
"36","Adelie Penguin (Pygoscelis adeliae)",190,38.8,20,3950
"37","Adelie Penguin (Pygoscelis adeliae)",180,42.2,18.5,3550
"38","Adelie Penguin (Pygoscelis adeliae)",181,37.6,19.3,3300
"39","Adelie Penguin (Pygoscelis adeliae)",184,39.8,19.1,4650
"40","Adelie Penguin (Pygoscelis adeliae)",182,36.5,18,3150
"41","Adelie Penguin (Pygoscelis adeliae)",195,40.8,18.4,3900
"42","Adelie Penguin (Pygoscelis adeliae)",186,36,18.5,3100
"43","Adelie Penguin (Pygoscelis adeliae)",196,44.1,19.7,4400
"44","Adelie Penguin (Pygoscelis adeliae)",185,37,16.9,3000
"45","Adelie Penguin (Pygoscelis adeliae)",190,39.6,18.8,4600
"46","Adelie Penguin (Pygoscelis adeliae)",182,41.1,19,3425
"47","Adelie Penguin (Pygoscelis adeliae)",179,37.5,18.9,2975
"48","Adelie Penguin (Pygoscelis adeliae)",190,36,17.9,3450
"49","Adelie Penguin (Pygoscelis adeliae)",191,42.3,21.2,4150
"50","Adelie Penguin (Pygoscelis adeliae)",186,39.6,17.7,3500
"51","Adelie Penguin (Pygoscelis adeliae)",188,40.1,18.9,4300
"52","Adelie Penguin (Pygoscelis adeliae)",190,35,17.9,3450
"53","Adelie Penguin (Pygoscelis adeliae)",200,42,19.5,4050
"54","Adelie Penguin (Pygoscelis adeliae)",187,34.5,18.1,2900
"55","Adelie Penguin (Pygoscelis adeliae)",191,41.4,18.6,3700
"56","Adelie Penguin (Pygoscelis adeliae)",186,39,17.5,3550
"57","Adelie Penguin (Pygoscelis adeliae)",193,40.6,18.8,3800
"58","Adelie Penguin (Pygoscelis adeliae)",181,36.5,16.6,2850
"59","Adelie Penguin (Pygoscelis adeliae)",194,37.6,19.1,3750
"60","Adelie Penguin (Pygoscelis adeliae)",185,35.7,16.9,3150
"61","Adelie Penguin (Pygoscelis adeliae)",195,41.3,21.1,4400
"62","Adelie Penguin (Pygoscelis adeliae)",185,37.6,17,3600
"63","Adelie Penguin (Pygoscelis adeliae)",192,41.1,18.2,4050
"64","Adelie Penguin (Pygoscelis adeliae)",184,36.4,17.1,2850
"65","Adelie Penguin (Pygoscelis adeliae)",192,41.6,18,3950
"66","Adelie Penguin (Pygoscelis adeliae)",195,35.5,16.2,3350
"67","Adelie Penguin (Pygoscelis adeliae)",188,41.1,19.1,4100
"68","Adelie Penguin (Pygoscelis adeliae)",190,35.9,16.6,3050
"69","Adelie Penguin (Pygoscelis adeliae)",198,41.8,19.4,4450
"70","Adelie Penguin (Pygoscelis adeliae)",190,33.5,19,3600
"71","Adelie Penguin (Pygoscelis adeliae)",190,39.7,18.4,3900
"72","Adelie Penguin (Pygoscelis adeliae)",196,39.6,17.2,3550
"73","Adelie Penguin (Pygoscelis adeliae)",197,45.8,18.9,4150
"74","Adelie Penguin (Pygoscelis adeliae)",190,35.5,17.5,3700
"75","Adelie Penguin (Pygoscelis adeliae)",195,42.8,18.5,4250
"76","Adelie Penguin (Pygoscelis adeliae)",191,40.9,16.8,3700
"77","Adelie Penguin (Pygoscelis adeliae)",184,37.2,19.4,3900
"78","Adelie Penguin (Pygoscelis adeliae)",187,36.2,16.1,3550
"79","Adelie Penguin (Pygoscelis adeliae)",195,42.1,19.1,4000
"80","Adelie Penguin (Pygoscelis adeliae)",189,34.6,17.2,3200
"81","Adelie Penguin (Pygoscelis adeliae)",196,42.9,17.6,4700
"82","Adelie Penguin (Pygoscelis adeliae)",187,36.7,18.8,3800
"83","Adelie Penguin (Pygoscelis adeliae)",193,35.1,19.4,4200
"84","Adelie Penguin (Pygoscelis adeliae)",191,37.3,17.8,3350
"85","Adelie Penguin (Pygoscelis adeliae)",194,41.3,20.3,3550
"86","Adelie Penguin (Pygoscelis adeliae)",190,36.3,19.5,3800
"87","Adelie Penguin (Pygoscelis adeliae)",189,36.9,18.6,3500
"88","Adelie Penguin (Pygoscelis adeliae)",189,38.3,19.2,3950
"89","Adelie Penguin (Pygoscelis adeliae)",190,38.9,18.8,3600
"90","Adelie Penguin (Pygoscelis adeliae)",202,35.7,18,3550
"91","Adelie Penguin (Pygoscelis adeliae)",205,41.1,18.1,4300
"92","Adelie Penguin (Pygoscelis adeliae)",185,34,17.1,3400
"93","Adelie Penguin (Pygoscelis adeliae)",186,39.6,18.1,4450
"94","Adelie Penguin (Pygoscelis adeliae)",187,36.2,17.3,3300
"95","Adelie Penguin (Pygoscelis adeliae)",208,40.8,18.9,4300
"96","Adelie Penguin (Pygoscelis adeliae)",190,38.1,18.6,3700
"97","Adelie Penguin (Pygoscelis adeliae)",196,40.3,18.5,4350
"98","Adelie Penguin (Pygoscelis adeliae)",178,33.1,16.1,2900
"99","Adelie Penguin (Pygoscelis adeliae)",192,43.2,18.5,4100
"100","Adelie Penguin (Pygoscelis adeliae)",192,35,17.9,3725
"101","Adelie Penguin (Pygoscelis adeliae)",203,41,20,4725
"102","Adelie Penguin (Pygoscelis adeliae)",183,37.7,16,3075
"103","Adelie Penguin (Pygoscelis adeliae)",190,37.8,20,4250
"104","Adelie Penguin (Pygoscelis adeliae)",193,37.9,18.6,2925
"105","Adelie Penguin (Pygoscelis adeliae)",184,39.7,18.9,3550
"106","Adelie Penguin (Pygoscelis adeliae)",199,38.6,17.2,3750
"107","Adelie Penguin (Pygoscelis adeliae)",190,38.2,20,3900
"108","Adelie Penguin (Pygoscelis adeliae)",181,38.1,17,3175
"109","Adelie Penguin (Pygoscelis adeliae)",197,43.2,19,4775
"110","Adelie Penguin (Pygoscelis adeliae)",198,38.1,16.5,3825
"111","Adelie Penguin (Pygoscelis adeliae)",191,45.6,20.3,4600
"112","Adelie Penguin (Pygoscelis adeliae)",193,39.7,17.7,3200
"113","Adelie Penguin (Pygoscelis adeliae)",197,42.2,19.5,4275
"114","Adelie Penguin (Pygoscelis adeliae)",191,39.6,20.7,3900
"115","Adelie Penguin (Pygoscelis adeliae)",196,42.7,18.3,4075
"116","Adelie Penguin (Pygoscelis adeliae)",188,38.6,17,2900
"117","Adelie Penguin (Pygoscelis adeliae)",199,37.3,20.5,3775
"118","Adelie Penguin (Pygoscelis adeliae)",189,35.7,17,3350
"119","Adelie Penguin (Pygoscelis adeliae)",189,41.1,18.6,3325
"120","Adelie Penguin (Pygoscelis adeliae)",187,36.2,17.2,3150
"121","Adelie Penguin (Pygoscelis adeliae)",198,37.7,19.8,3500
"122","Adelie Penguin (Pygoscelis adeliae)",176,40.2,17,3450
"123","Adelie Penguin (Pygoscelis adeliae)",202,41.4,18.5,3875
"124","Adelie Penguin (Pygoscelis adeliae)",186,35.2,15.9,3050
"125","Adelie Penguin (Pygoscelis adeliae)",199,40.6,19,4000
"126","Adelie Penguin (Pygoscelis adeliae)",191,38.8,17.6,3275
"127","Adelie Penguin (Pygoscelis adeliae)",195,41.5,18.3,4300
"128","Adelie Penguin (Pygoscelis adeliae)",191,39,17.1,3050
"129","Adelie Penguin (Pygoscelis adeliae)",210,44.1,18,4000
"130","Adelie Penguin (Pygoscelis adeliae)",190,38.5,17.9,3325
"131","Adelie Penguin (Pygoscelis adeliae)",197,43.1,19.2,3500
"132","Adelie Penguin (Pygoscelis adeliae)",193,36.8,18.5,3500
"133","Adelie Penguin (Pygoscelis adeliae)",199,37.5,18.5,4475
"134","Adelie Penguin (Pygoscelis adeliae)",187,38.1,17.6,3425
"135","Adelie Penguin (Pygoscelis adeliae)",190,41.1,17.5,3900
"136","Adelie Penguin (Pygoscelis adeliae)",191,35.6,17.5,3175
"137","Adelie Penguin (Pygoscelis adeliae)",200,40.2,20.1,3975
"138","Adelie Penguin (Pygoscelis adeliae)",185,37,16.5,3400
"139","Adelie Penguin (Pygoscelis adeliae)",193,39.7,17.9,4250
"140","Adelie Penguin (Pygoscelis adeliae)",193,40.2,17.1,3400
"141","Adelie Penguin (Pygoscelis adeliae)",187,40.6,17.2,3475
"142","Adelie Penguin (Pygoscelis adeliae)",188,32.1,15.5,3050
"143","Adelie Penguin (Pygoscelis adeliae)",190,40.7,17,3725
"144","Adelie Penguin (Pygoscelis adeliae)",192,37.3,16.8,3000
"145","Adelie Penguin (Pygoscelis adeliae)",185,39,18.7,3650
"146","Adelie Penguin (Pygoscelis adeliae)",190,39.2,18.6,4250
"147","Adelie Penguin (Pygoscelis adeliae)",184,36.6,18.4,3475
"148","Adelie Penguin (Pygoscelis adeliae)",195,36,17.8,3450
"149","Adelie Penguin (Pygoscelis adeliae)",193,37.8,18.1,3750
"150","Adelie Penguin (Pygoscelis adeliae)",187,36,17.1,3700
"151","Adelie Penguin (Pygoscelis adeliae)",201,41.5,18.5,4000
"152","Gentoo penguin (Pygoscelis papua)",211,46.1,13.2,4500
"153","Gentoo penguin (Pygoscelis papua)",230,50,16.3,5700
"154","Gentoo penguin (Pygoscelis papua)",210,48.7,14.1,4450
"155","Gentoo penguin (Pygoscelis papua)",218,50,15.2,5700
"156","Gentoo penguin (Pygoscelis papua)",215,47.6,14.5,5400
"157","Gentoo penguin (Pygoscelis papua)",210,46.5,13.5,4550
"158","Gentoo penguin (Pygoscelis papua)",211,45.4,14.6,4800
"159","Gentoo penguin (Pygoscelis papua)",219,46.7,15.3,5200
"160","Gentoo penguin (Pygoscelis papua)",209,43.3,13.4,4400
"161","Gentoo penguin (Pygoscelis papua)",215,46.8,15.4,5150
"162","Gentoo penguin (Pygoscelis papua)",214,40.9,13.7,4650
"163","Gentoo penguin (Pygoscelis papua)",216,49,16.1,5550
"164","Gentoo penguin (Pygoscelis papua)",214,45.5,13.7,4650
"165","Gentoo penguin (Pygoscelis papua)",213,48.4,14.6,5850
"166","Gentoo penguin (Pygoscelis papua)",210,45.8,14.6,4200
"167","Gentoo penguin (Pygoscelis papua)",217,49.3,15.7,5850
"168","Gentoo penguin (Pygoscelis papua)",210,42,13.5,4150
"169","Gentoo penguin (Pygoscelis papua)",221,49.2,15.2,6300
"170","Gentoo penguin (Pygoscelis papua)",209,46.2,14.5,4800
"171","Gentoo penguin (Pygoscelis papua)",222,48.7,15.1,5350
"172","Gentoo penguin (Pygoscelis papua)",218,50.2,14.3,5700
"173","Gentoo penguin (Pygoscelis papua)",215,45.1,14.5,5000
"174","Gentoo penguin (Pygoscelis papua)",213,46.5,14.5,4400
"175","Gentoo penguin (Pygoscelis papua)",215,46.3,15.8,5050
"176","Gentoo penguin (Pygoscelis papua)",215,42.9,13.1,5000
"177","Gentoo penguin (Pygoscelis papua)",215,46.1,15.1,5100
"178","Gentoo penguin (Pygoscelis papua)",216,44.5,14.3,4100
"179","Gentoo penguin (Pygoscelis papua)",215,47.8,15,5650
"180","Gentoo penguin (Pygoscelis papua)",210,48.2,14.3,4600
"181","Gentoo penguin (Pygoscelis papua)",220,50,15.3,5550
"182","Gentoo penguin (Pygoscelis papua)",222,47.3,15.3,5250
"183","Gentoo penguin (Pygoscelis papua)",209,42.8,14.2,4700
"184","Gentoo penguin (Pygoscelis papua)",207,45.1,14.5,5050
"185","Gentoo penguin (Pygoscelis papua)",230,59.6,17,6050
"186","Gentoo penguin (Pygoscelis papua)",220,49.1,14.8,5150
"187","Gentoo penguin (Pygoscelis papua)",220,48.4,16.3,5400
"188","Gentoo penguin (Pygoscelis papua)",213,42.6,13.7,4950
"189","Gentoo penguin (Pygoscelis papua)",219,44.4,17.3,5250
"190","Gentoo penguin (Pygoscelis papua)",208,44,13.6,4350
"191","Gentoo penguin (Pygoscelis papua)",208,48.7,15.7,5350
"192","Gentoo penguin (Pygoscelis papua)",208,42.7,13.7,3950
"193","Gentoo penguin (Pygoscelis papua)",225,49.6,16,5700
"194","Gentoo penguin (Pygoscelis papua)",210,45.3,13.7,4300
"195","Gentoo penguin (Pygoscelis papua)",216,49.6,15,4750
"196","Gentoo penguin (Pygoscelis papua)",222,50.5,15.9,5550
"197","Gentoo penguin (Pygoscelis papua)",217,43.6,13.9,4900
"198","Gentoo penguin (Pygoscelis papua)",210,45.5,13.9,4200
"199","Gentoo penguin (Pygoscelis papua)",225,50.5,15.9,5400
"200","Gentoo penguin (Pygoscelis papua)",213,44.9,13.3,5100
"201","Gentoo penguin (Pygoscelis papua)",215,45.2,15.8,5300
"202","Gentoo penguin (Pygoscelis papua)",210,46.6,14.2,4850
"203","Gentoo penguin (Pygoscelis papua)",220,48.5,14.1,5300
"204","Gentoo penguin (Pygoscelis papua)",210,45.1,14.4,4400
"205","Gentoo penguin (Pygoscelis papua)",225,50.1,15,5000
"206","Gentoo penguin (Pygoscelis papua)",217,46.5,14.4,4900
"207","Gentoo penguin (Pygoscelis papua)",220,45,15.4,5050
"208","Gentoo penguin (Pygoscelis papua)",208,43.8,13.9,4300
"209","Gentoo penguin (Pygoscelis papua)",220,45.5,15,5000
"210","Gentoo penguin (Pygoscelis papua)",208,43.2,14.5,4450
"211","Gentoo penguin (Pygoscelis papua)",224,50.4,15.3,5550
"212","Gentoo penguin (Pygoscelis papua)",208,45.3,13.8,4200
"213","Gentoo penguin (Pygoscelis papua)",221,46.2,14.9,5300
"214","Gentoo penguin (Pygoscelis papua)",214,45.7,13.9,4400
"215","Gentoo penguin (Pygoscelis papua)",231,54.3,15.7,5650
"216","Gentoo penguin (Pygoscelis papua)",219,45.8,14.2,4700
"217","Gentoo penguin (Pygoscelis papua)",230,49.8,16.8,5700
"218","Gentoo penguin (Pygoscelis papua)",214,46.2,14.4,4650
"219","Gentoo penguin (Pygoscelis papua)",229,49.5,16.2,5800
"220","Gentoo penguin (Pygoscelis papua)",220,43.5,14.2,4700
"221","Gentoo penguin (Pygoscelis papua)",223,50.7,15,5550
"222","Gentoo penguin (Pygoscelis papua)",216,47.7,15,4750
"223","Gentoo penguin (Pygoscelis papua)",221,46.4,15.6,5000
"224","Gentoo penguin (Pygoscelis papua)",221,48.2,15.6,5100
"225","Gentoo penguin (Pygoscelis papua)",217,46.5,14.8,5200
"226","Gentoo penguin (Pygoscelis papua)",216,46.4,15,4700
"227","Gentoo penguin (Pygoscelis papua)",230,48.6,16,5800
"228","Gentoo penguin (Pygoscelis papua)",209,47.5,14.2,4600
"229","Gentoo penguin (Pygoscelis papua)",220,51.1,16.3,6000
"230","Gentoo penguin (Pygoscelis papua)",215,45.2,13.8,4750
"231","Gentoo penguin (Pygoscelis papua)",223,45.2,16.4,5950
"232","Gentoo penguin (Pygoscelis papua)",212,49.1,14.5,4625
"233","Gentoo penguin (Pygoscelis papua)",221,52.5,15.6,5450
"234","Gentoo penguin (Pygoscelis papua)",212,47.4,14.6,4725
"235","Gentoo penguin (Pygoscelis papua)",224,50,15.9,5350
"236","Gentoo penguin (Pygoscelis papua)",212,44.9,13.8,4750
"237","Gentoo penguin (Pygoscelis papua)",228,50.8,17.3,5600
"238","Gentoo penguin (Pygoscelis papua)",218,43.4,14.4,4600
"239","Gentoo penguin (Pygoscelis papua)",218,51.3,14.2,5300
"240","Gentoo penguin (Pygoscelis papua)",212,47.5,14,4875
"241","Gentoo penguin (Pygoscelis papua)",230,52.1,17,5550
"242","Gentoo penguin (Pygoscelis papua)",218,47.5,15,4950
"243","Gentoo penguin (Pygoscelis papua)",228,52.2,17.1,5400
"244","Gentoo penguin (Pygoscelis papua)",212,45.5,14.5,4750
"245","Gentoo penguin (Pygoscelis papua)",224,49.5,16.1,5650
"246","Gentoo penguin (Pygoscelis papua)",214,44.5,14.7,4850
"247","Gentoo penguin (Pygoscelis papua)",226,50.8,15.7,5200
"248","Gentoo penguin (Pygoscelis papua)",216,49.4,15.8,4925
"249","Gentoo penguin (Pygoscelis papua)",222,46.9,14.6,4875
"250","Gentoo penguin (Pygoscelis papua)",203,48.4,14.4,4625
"251","Gentoo penguin (Pygoscelis papua)",225,51.1,16.5,5250
"252","Gentoo penguin (Pygoscelis papua)",219,48.5,15,4850
"253","Gentoo penguin (Pygoscelis papua)",228,55.9,17,5600
"254","Gentoo penguin (Pygoscelis papua)",215,47.2,15.5,4975
"255","Gentoo penguin (Pygoscelis papua)",228,49.1,15,5500
"256","Gentoo penguin (Pygoscelis papua)",216,47.3,13.8,4725
"257","Gentoo penguin (Pygoscelis papua)",215,46.8,16.1,5500
"258","Gentoo penguin (Pygoscelis papua)",210,41.7,14.7,4700
"259","Gentoo penguin (Pygoscelis papua)",219,53.4,15.8,5500
"260","Gentoo penguin (Pygoscelis papua)",208,43.3,14,4575
"261","Gentoo penguin (Pygoscelis papua)",209,48.1,15.1,5500
"262","Gentoo penguin (Pygoscelis papua)",216,50.5,15.2,5000
"263","Gentoo penguin (Pygoscelis papua)",229,49.8,15.9,5950
"264","Gentoo penguin (Pygoscelis papua)",213,43.5,15.2,4650
"265","Gentoo penguin (Pygoscelis papua)",230,51.5,16.3,5500
"266","Gentoo penguin (Pygoscelis papua)",217,46.2,14.1,4375
"267","Gentoo penguin (Pygoscelis papua)",230,55.1,16,5850
"268","Gentoo penguin (Pygoscelis papua)",217,44.5,15.7,4875
"269","Gentoo penguin (Pygoscelis papua)",222,48.8,16.2,6000
"270","Gentoo penguin (Pygoscelis papua)",214,47.2,13.7,4925
"271","Gentoo penguin (Pygoscelis papua)",215,46.8,14.3,4850
"272","Gentoo penguin (Pygoscelis papua)",222,50.4,15.7,5750
"273","Gentoo penguin (Pygoscelis papua)",212,45.2,14.8,5200
"274","Gentoo penguin (Pygoscelis papua)",213,49.9,16.1,5400
"275","Chinstrap penguin (Pygoscelis antarctica)",192,46.5,17.9,3500
"276","Chinstrap penguin (Pygoscelis antarctica)",196,50,19.5,3900
"277","Chinstrap penguin (Pygoscelis antarctica)",193,51.3,19.2,3650
"278","Chinstrap penguin (Pygoscelis antarctica)",188,45.4,18.7,3525
"279","Chinstrap penguin (Pygoscelis antarctica)",197,52.7,19.8,3725
"280","Chinstrap penguin (Pygoscelis antarctica)",198,45.2,17.8,3950
"281","Chinstrap penguin (Pygoscelis antarctica)",178,46.1,18.2,3250
"282","Chinstrap penguin (Pygoscelis antarctica)",197,51.3,18.2,3750
"283","Chinstrap penguin (Pygoscelis antarctica)",195,46,18.9,4150
"284","Chinstrap penguin (Pygoscelis antarctica)",198,51.3,19.9,3700
"285","Chinstrap penguin (Pygoscelis antarctica)",193,46.6,17.8,3800
"286","Chinstrap penguin (Pygoscelis antarctica)",194,51.7,20.3,3775
"287","Chinstrap penguin (Pygoscelis antarctica)",185,47,17.3,3700
"288","Chinstrap penguin (Pygoscelis antarctica)",201,52,18.1,4050
"289","Chinstrap penguin (Pygoscelis antarctica)",190,45.9,17.1,3575
"290","Chinstrap penguin (Pygoscelis antarctica)",201,50.5,19.6,4050
"291","Chinstrap penguin (Pygoscelis antarctica)",197,50.3,20,3300
"292","Chinstrap penguin (Pygoscelis antarctica)",181,58,17.8,3700
"293","Chinstrap penguin (Pygoscelis antarctica)",190,46.4,18.6,3450
"294","Chinstrap penguin (Pygoscelis antarctica)",195,49.2,18.2,4400
"295","Chinstrap penguin (Pygoscelis antarctica)",181,42.4,17.3,3600
"296","Chinstrap penguin (Pygoscelis antarctica)",191,48.5,17.5,3400
"297","Chinstrap penguin (Pygoscelis antarctica)",187,43.2,16.6,2900
"298","Chinstrap penguin (Pygoscelis antarctica)",193,50.6,19.4,3800
"299","Chinstrap penguin (Pygoscelis antarctica)",195,46.7,17.9,3300
"300","Chinstrap penguin (Pygoscelis antarctica)",197,52,19,4150
"301","Chinstrap penguin (Pygoscelis antarctica)",200,50.5,18.4,3400
"302","Chinstrap penguin (Pygoscelis antarctica)",200,49.5,19,3800
"303","Chinstrap penguin (Pygoscelis antarctica)",191,46.4,17.8,3700
"304","Chinstrap penguin (Pygoscelis antarctica)",205,52.8,20,4550
"305","Chinstrap penguin (Pygoscelis antarctica)",187,40.9,16.6,3200
"306","Chinstrap penguin (Pygoscelis antarctica)",201,54.2,20.8,4300
"307","Chinstrap penguin (Pygoscelis antarctica)",187,42.5,16.7,3350
"308","Chinstrap penguin (Pygoscelis antarctica)",203,51,18.8,4100
"309","Chinstrap penguin (Pygoscelis antarctica)",195,49.7,18.6,3600
"310","Chinstrap penguin (Pygoscelis antarctica)",199,47.5,16.8,3900
"311","Chinstrap penguin (Pygoscelis antarctica)",195,47.6,18.3,3850
"312","Chinstrap penguin (Pygoscelis antarctica)",210,52,20.7,4800
"313","Chinstrap penguin (Pygoscelis antarctica)",192,46.9,16.6,2700
"314","Chinstrap penguin (Pygoscelis antarctica)",205,53.5,19.9,4500
"315","Chinstrap penguin (Pygoscelis antarctica)",210,49,19.5,3950
"316","Chinstrap penguin (Pygoscelis antarctica)",187,46.2,17.5,3650
"317","Chinstrap penguin (Pygoscelis antarctica)",196,50.9,19.1,3550
"318","Chinstrap penguin (Pygoscelis antarctica)",196,45.5,17,3500
"319","Chinstrap penguin (Pygoscelis antarctica)",196,50.9,17.9,3675
"320","Chinstrap penguin (Pygoscelis antarctica)",201,50.8,18.5,4450
"321","Chinstrap penguin (Pygoscelis antarctica)",190,50.1,17.9,3400
"322","Chinstrap penguin (Pygoscelis antarctica)",212,49,19.6,4300
"323","Chinstrap penguin (Pygoscelis antarctica)",187,51.5,18.7,3250
"324","Chinstrap penguin (Pygoscelis antarctica)",198,49.8,17.3,3675
"325","Chinstrap penguin (Pygoscelis antarctica)",199,48.1,16.4,3325
"326","Chinstrap penguin (Pygoscelis antarctica)",201,51.4,19,3950
"327","Chinstrap penguin (Pygoscelis antarctica)",193,45.7,17.3,3600
"328","Chinstrap penguin (Pygoscelis antarctica)",203,50.7,19.7,4050
"329","Chinstrap penguin (Pygoscelis antarctica)",187,42.5,17.3,3350
"330","Chinstrap penguin (Pygoscelis antarctica)",197,52.2,18.8,3450
"331","Chinstrap penguin (Pygoscelis antarctica)",191,45.2,16.6,3250
"332","Chinstrap penguin (Pygoscelis antarctica)",203,49.3,19.9,4050
"333","Chinstrap penguin (Pygoscelis antarctica)",202,50.2,18.8,3800
"334","Chinstrap penguin (Pygoscelis antarctica)",194,45.6,19.4,3525
"335","Chinstrap penguin (Pygoscelis antarctica)",206,51.9,19.5,3950
"336","Chinstrap penguin (Pygoscelis antarctica)",189,46.8,16.5,3650
"337","Chinstrap penguin (Pygoscelis antarctica)",195,45.7,17,3650
"338","Chinstrap penguin (Pygoscelis antarctica)",207,55.8,19.8,4000
"339","Chinstrap penguin (Pygoscelis antarctica)",202,43.5,18.1,3400
"340","Chinstrap penguin (Pygoscelis antarctica)",193,49.6,18.2,3775
"341","Chinstrap penguin (Pygoscelis antarctica)",210,50.8,19,4100
"342","Chinstrap penguin (Pygoscelis antarctica)",198,50.2,18.7,3775
